epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6944,0.87859,1.54012,1.16208,0.04443,0.07229,0.02647,0.01082,2.85361,11.7431,4.60693,0.0708824,0.00323529,0.00323529
2,80.9044,0.9801,1.10258,1.20536,0.08108,0.10843,0.04208,0.01512,3.15845,106.364,16.0714,0.0406222,0.00630851,0.00630851
3,120.963,1.03255,1.12502,1.26524,0.00182,0.16867,0.00207,0.0005,4.41657,833.766,22.0692,0.0100981,0.00911773,0.00911773
4,161.081,0.88618,0.91618,1.15222,0.12975,0.27711,0.15282,0.08411,2.32695,18.1025,3.68039,0.008812,0.008812,0.008812
5,201.423,0.84829,0.78933,1.1114,0.41002,0.3012,0.31921,0.17117,1.88295,4.76112,2.71333,0.008416,0.008416,0.008416
6,245.196,0.81871,0.77108,1.12529,0.69253,0.61446,0.68124,0.46209,1.12199,1.87591,1.55126,0.00802,0.00802,0.00802
7,285.133,0.74504,0.67693,1.10414,0.81509,0.80723,0.86926,0.60923,0.88994,1.57109,1.38901,0.007624,0.007624,0.007624
8,324.986,0.80525,0.71253,1.08098,0.91574,0.91663,0.98242,0.77796,0.63877,0.8305,1.14114,0.007228,0.007228,0.007228
9,365.31,0.69085,0.63137,1.04281,0.94044,0.95128,0.97544,0.82233,0.62699,0.72207,1.097,0.006832,0.006832,0.006832
10,405.478,0.65092,0.57466,1.00173,0.96163,1,0.99245,0.83603,0.51038,0.80725,0.98577,0.006436,0.006436,0.006436
11,445.304,0.61757,0.53434,0.99454,0.976,0.97995,0.99429,0.86404,0.50704,0.47479,0.9727,0.00604,0.00604,0.00604
12,485.512,0.63186,0.53693,0.99329,0.98485,1,0.995,0.87264,0.48601,0.49441,0.95965,0.005644,0.005644,0.005644
13,525.38,0.59142,0.49313,0.9943,0.98678,1,0.995,0.873,0.49671,0.44591,0.96288,0.005248,0.005248,0.005248
14,565.26,0.60821,0.53565,0.98522,0.98428,1,0.995,0.85707,0.52652,0.47951,0.98476,0.004852,0.004852,0.004852
15,605.023,0.53832,0.47071,0.96045,0.99669,1,0.995,0.89983,0.46437,0.3983,0.94017,0.004456,0.004456,0.004456
16,644.357,0.48655,0.47862,0.95397,0.98543,1,0.99476,0.87918,0.45682,0.40075,0.93541,0.00406,0.00406,0.00406
17,683.809,0.46854,0.40283,0.94161,0.98321,1,0.995,0.8762,0.48851,0.45571,0.96936,0.003664,0.003664,0.003664
18,723.069,0.48154,0.41326,0.955,0.98529,1,0.99464,0.88071,0.45197,0.43246,0.9367,0.003268,0.003268,0.003268
19,762.28,0.45807,0.38786,0.95074,0.99207,1,0.995,0.87027,0.44134,0.41463,0.93052,0.002872,0.002872,0.002872
20,801.048,0.45614,0.3714,0.9275,0.97951,1,0.99476,0.89353,0.43921,0.41705,0.92598,0.002476,0.002476,0.002476
